Id,Card_Offer
596723,False
841834,False
402401,False
734431,False
739547,False
203067,False
133388,False
131709,False
310152,True
552166,False
362007,False
635393,False
221473,False
878414,False
290633,False
756772,False
955411,False
997239,False
43398,True
264349,False
314391,False
714846,False
892667,False
670648,True
584068,False
107590,False
815672,False
460630,False
354231,False
721713,False
765885,False
964281,False
730025,True
625375,False
121424,False
71578,False
776481,False
466286,True
342403,True
461761,False
473362,False
211887,False
409765,False
916518,False
209540,False
335884,False
208424,False
712488,False
880947,False
263908,False
100941,False
152834,False
531840,False
274346,False
593624,False
407490,False
311259,False
595019,False
234104,False
34438,False
656828,False
746261,False
965989,False
626132,False
299740,False
387322,False
851985,False
326037,False
983487,False
486721,False
193072,True
377667,False
462764,False
295888,False
855314,False
622882,False
947926,False
183961,False
320882,False
705824,False
139562,False
798562,False
119424,False
863295,False
602678,False
271590,False
235152,False
300779,False
791914,False
36230,False
680822,False
302004,False
807842,False
117162,False
84457,False
92405,False
807188,True
427536,False
951993,False
922399,False
234762,False
322977,False
416411,False
215762,False
435739,False
176635,False
349595,False
255878,False
716614,False
773109,False
671310,False
713885,False
960404,False
403605,False
906684,False
506756,False
726112,False
703660,False
783626,False
571233,False
591667,False
890253,False
153504,False
277955,False
298779,False
495368,False
850053,False
494629,False
763305,False
975085,False
369431,False
563174,False
885185,True
185470,False
905661,False
589605,False
912434,False
499546,False
880715,False
884827,False
221002,False
96943,False
75488,True
981956,False
654682,False
879703,False
555230,False
769187,False
565911,False
145489,True
334270,False
400056,False
953308,False
27276,False
951247,False
964413,False
868086,False
741230,False
563094,False
72673,False
313374,False
469575,False
685127,False
975553,False
565643,False
557683,False
228010,False
209175,False
746911,False
752651,False
356586,False
20281,False
674761,False
406138,False
369059,False
473523,False
774095,False
88726,False
6258,False
511985,False
378688,False
44533,False
536011,False
743832,False
720152,False
374511,False
250059,False
258248,False
639481,False
324737,False
121586,False
97725,True
852914,False
204465,False
942006,False
369136,False
95396,False
837181,False
287384,True
627203,False
836129,False
521639,False
698844,False
657249,False
111219,False
837246,False
118912,False
11563,False
265725,False
493565,False
835213,False
53184,False
53466,False
635843,False
125884,False
844397,False
666984,False
211347,False
806893,False
402882,False
227519,False
325742,False
336982,False
370178,False
167282,False
931671,False
601557,False
884023,False
957803,False
740542,False
884288,False
508381,True
842646,False
311720,False
740056,False
767469,False
313468,False
891964,False
851888,False
20630,False
330000,False
655190,False
439638,False
430717,False
361187,False
299471,False
426505,False
188459,False
289643,False
239580,False
197206,False
20768,True
31214,False
394681,False
427839,False
997290,False
772427,False
211773,True
931385,False
465307,False
184877,False
83304,True
449519,False
344756,False
667856,False
477704,False
604201,False
899142,False
909377,False
345862,False
451905,False
107814,False
954796,False
819252,False
368717,False
113339,False
490111,False
846348,False
520262,False
856123,False
847906,False
780553,False
638543,False
759625,False
990601,False
225523,False
741794,False
50077,False
748315,False
142498,False
469829,False
233910,False
447226,False
971274,False
632485,False
619920,False
980780,False
749889,False
603703,False
498315,False
64236,False
531605,False
353578,False
981565,False
280144,False
997757,False
685590,False
503433,False
445350,False
804617,False
85222,False
546419,False
37124,False
124736,False
324042,False
736683,True
492856,False
764845,False
461170,False
793713,False
670775,False
377171,False
802408,False
222591,False
961454,False
761860,False
419692,False
819721,False
623820,False
208973,False
893581,False
65679,False
694315,False
141451,False
817681,False
467886,False
311971,False
991322,False
587474,False
937863,False
34114,False
78995,False
167885,False
580087,False
80748,True
395771,False
763909,False
892433,False
138066,False
392091,False
754982,False
182124,False
276064,True
668256,False
718306,False
966314,False
148842,False
264373,False
930380,False
733781,False
450935,False
438777,False
311438,False
375593,False
175994,False
814565,False
124785,False
81297,False
187457,False
232306,True
948960,False
341539,False
40797,False
614144,False
196591,False
539569,False
500364,False
834835,False
397760,False
935239,False
803961,False
76767,False
410087,True
926472,False
827322,True
774520,False
146763,False
200940,False
845197,False
717486,False
642154,False
373367,False
462081,False
416708,False
658035,False
583808,False
845915,False
157227,False
139146,False
863812,False
569337,False
555508,False
154466,False
121912,False
949396,False
365414,False
945997,False
849844,False
26266,False
87786,False
845645,False
537942,False
799928,False
218444,False
526996,False
172007,False
2139,False
699923,False
443457,False
994604,False
860547,False
84961,False
